batch_id,annotator_id,section,text_id,file_uuid,id,text,timestamp_vendor_delivery,document_uuid,sector,order,document_type,comments,text_uuid,batch_uuid,label,timestamp_delivered_to_vendor,completedDate,label2,label3,task,row_id,source_document_uri,status,Annotator_0_Id,Annotator_0_Category,Annotator_1_Id,Annotator_1_Category,Annotator_2_Id,Annotator_2_Category,Arbitrator_Id,Arbitrator_Category
c61f89fc819d52ad7d47da45724ab4aef3e2809a,,operator,Q2_2016_EnLink_Midstream_LLC_and_EnLink_Midstream_Partners_LP_Earnings_Call_0,f1a1d26142cd678508f771e1bdc50848aa2ea426,252aab17-6422-4896-b432-153a037e149e,"Ladies and gentlemen, thank you for standing by.",,f1a1d26142cd678508f771e1bdc50848aa2ea426,various,0,earnings call transcript,,f1a1d26142cd678508f771e1bdc50848aa2ea426_0,c61f89fc819d52ad7d47da45724ab4aef3e2809a,,2021-06-10_10:53:24,,,,sentence-level event detection,0,Q2_2016_EnLink_Midstream_LLC_and_EnLink_Midstream_Partners_LP_Earnings_Call,Pending,,,,,,,,
c61f89fc819d52ad7d47da45724ab4aef3e2809a,,operator,Q2_2016_EnLink_Midstream_LLC_and_EnLink_Midstream_Partners_LP_Earnings_Call_1,f1a1d26142cd678508f771e1bdc50848aa2ea426,0b3ffd66-1acf-412a-8bae-c1ec00d6f63d,Welcome to the EnLink Midstream second-quarter 2016 earnings call.,,f1a1d26142cd678508f771e1bdc50848aa2ea426,various,1,earnings call transcript,,f1a1d26142cd678508f771e1bdc50848aa2ea426_1,c61f89fc819d52ad7d47da45724ab4aef3e2809a,,2021-06-10_10:53:24,,,,sentence-level event detection,1,Q2_2016_EnLink_Midstream_LLC_and_EnLink_Midstream_Partners_LP_Earnings_Call,Pending,,,,,,,,
c61f89fc819d52ad7d47da45724ab4aef3e2809a,,operator,Q2_2016_EnLink_Midstream_LLC_and_EnLink_Midstream_Partners_LP_Earnings_Call_2,f1a1d26142cd678508f771e1bdc50848aa2ea426,60ce2a23-578b-4137-9c30-a285a2033bad,All participants will be in listen-only mode.,,f1a1d26142cd678508f771e1bdc50848aa2ea426,various,2,earnings call transcript,,f1a1d26142cd678508f771e1bdc50848aa2ea426_2,c61f89fc819d52ad7d47da45724ab4aef3e2809a,,2021-06-10_10:53:24,,,,sentence-level event detection,2,Q2_2016_EnLink_Midstream_LLC_and_EnLink_Midstream_Partners_LP_Earnings_Call,Pending,,,,,,,,
c61f89fc819d52ad7d47da45724ab4aef3e2809a,,operator,Q2_2016_EnLink_Midstream_LLC_and_EnLink_Midstream_Partners_LP_Earnings_Call_3,f1a1d26142cd678508f771e1bdc50848aa2ea426,1ebf5a6b-d6cf-4e02-b305-8801d04ca745,(Operator Instructions),,f1a1d26142cd678508f771e1bdc50848aa2ea426,various,3,earnings call transcript,,f1a1d26142cd678508f771e1bdc50848aa2ea426_3,c61f89fc819d52ad7d47da45724ab4aef3e2809a,,2021-06-10_10:53:24,,,,sentence-level event detection,3,Q2_2016_EnLink_Midstream_LLC_and_EnLink_Midstream_Partners_LP_Earnings_Call,Pending,,,,,,,,
c61f89fc819d52ad7d47da45724ab4aef3e2809a,,operator,Q2_2016_EnLink_Midstream_LLC_and_EnLink_Midstream_Partners_LP_Earnings_Call_4,f1a1d26142cd678508f771e1bdc50848aa2ea426,c22b94a9-dd07-43d8-8a21-90e2401842c0,"After today's presentation, there will be an opportunity to ask questions.",,f1a1d26142cd678508f771e1bdc50848aa2ea426,various,4,earnings call transcript,,f1a1d26142cd678508f771e1bdc50848aa2ea426_4,c61f89fc819d52ad7d47da45724ab4aef3e2809a,,2021-06-10_10:53:24,,,,sentence-level event detection,4,Q2_2016_EnLink_Midstream_LLC_and_EnLink_Midstream_Partners_LP_Earnings_Call,Pending,,,,,,,,
c61f89fc819d52ad7d47da45724ab4aef3e2809a,,operator,Q2_2016_EnLink_Midstream_LLC_and_EnLink_Midstream_Partners_LP_Earnings_Call_5,f1a1d26142cd678508f771e1bdc50848aa2ea426,97508b79-9f9f-4906-9694-1bb5f5102b68,(Operator Instructions),,f1a1d26142cd678508f771e1bdc50848aa2ea426,various,5,earnings call transcript,,f1a1d26142cd678508f771e1bdc50848aa2ea426_5,c61f89fc819d52ad7d47da45724ab4aef3e2809a,,2021-06-10_10:53:24,,,,sentence-level event detection,5,Q2_2016_EnLink_Midstream_LLC_and_EnLink_Midstream_Partners_LP_Earnings_Call,Pending,,,,,,,,
c61f89fc819d52ad7d47da45724ab4aef3e2809a,,operator,Q2_2016_EnLink_Midstream_LLC_and_EnLink_Midstream_Partners_LP_Earnings_Call_7,f1a1d26142cd678508f771e1bdc50848aa2ea426,56dcca11-f150-47fc-ac82-40f1cc4e0da2,"I would now like to turn the meeting over to Kate Walsh, Vice President of Investor Relations for EnLink Midstream.",,f1a1d26142cd678508f771e1bdc50848aa2ea426,various,6,earnings call transcript,,f1a1d26142cd678508f771e1bdc50848aa2ea426_7,c61f89fc819d52ad7d47da45724ab4aef3e2809a,,2021-06-10_10:53:24,,,,sentence-level event detection,7,Q2_2016_EnLink_Midstream_LLC_and_EnLink_Midstream_Partners_LP_Earnings_Call,Pending,,,,,,,,
c61f89fc819d52ad7d47da45724ab4aef3e2809a,,operator,Q2_2016_EnLink_Midstream_LLC_and_EnLink_Midstream_Partners_LP_Earnings_Call_8,f1a1d26142cd678508f771e1bdc50848aa2ea426,119f9e24-4b33-4ec7-b10e-3622d4741c07,Please go ahead.,,f1a1d26142cd678508f771e1bdc50848aa2ea426,various,7,earnings call transcript,,f1a1d26142cd678508f771e1bdc50848aa2ea426_8,c61f89fc819d52ad7d47da45724ab4aef3e2809a,,2021-06-10_10:53:24,,,,sentence-level event detection,8,Q2_2016_EnLink_Midstream_LLC_and_EnLink_Midstream_Partners_LP_Earnings_Call,Pending,,,,,,,,
c61f89fc819d52ad7d47da45724ab4aef3e2809a,,presentation,Q2_2016_EnLink_Midstream_LLC_and_EnLink_Midstream_Partners_LP_Earnings_Call_9,f1a1d26142cd678508f771e1bdc50848aa2ea426,c95ef337-ca6c-49b7-86a9-68b672286bad,"Thank you, Chad, and good morning, everyone.",,f1a1d26142cd678508f771e1bdc50848aa2ea426,various,8,earnings call transcript,,f1a1d26142cd678508f771e1bdc50848aa2ea426_9,c61f89fc819d52ad7d47da45724ab4aef3e2809a,,2021-06-10_10:53:24,,,,sentence-level event detection,9,Q2_2016_EnLink_Midstream_LLC_and_EnLink_Midstream_Partners_LP_Earnings_Call,Pending,,,,,,,,
c61f89fc819d52ad7d47da45724ab4aef3e2809a,,presentation,Q2_2016_EnLink_Midstream_LLC_and_EnLink_Midstream_Partners_LP_Earnings_Call_10,f1a1d26142cd678508f771e1bdc50848aa2ea426,1dff7b15-ea8f-44fb-ba42-c190b6fd4954,Thank you for joining us today to discuss EnLink Midstream's second-quarter 2016 results.,,f1a1d26142cd678508f771e1bdc50848aa2ea426,various,9,earnings call transcript,,f1a1d26142cd678508f771e1bdc50848aa2ea426_10,c61f89fc819d52ad7d47da45724ab4aef3e2809a,,2021-06-10_10:53:24,,,,sentence-level event detection,10,Q2_2016_EnLink_Midstream_LLC_and_EnLink_Midstream_Partners_LP_Earnings_Call,Pending,,,,,,,,
