BATCH_ID,BATCH_UUID,DOCUMENT_UUID,FILE_UUID,TEXT_UUID,TEXT_ID,ROW_ID,SECTION,TEXT,ADJ_LABEL,ADJ_LABEL2,ADJ_LABEL3,ADJ_COMMENTS,ADJ_ANNOTATOR_ID,LABEL,LABEL2,LABEL3,COMMENTS,ANNOTATOR_ID,LABEL,LABEL2,LABEL3,COMMENTS,ANNOTATOR_ID,LABEL,LABEL2,LABEL3,COMMENTS,ANNOTATOR_ID,TASK,TIMESTAMP_DELIVERED_TO_VENDOR,TIMESTAMP_VENDOR_DELIVERY,DOCUMENT_TYPE,SECTOR,SOURCE_DOCUMENT_URI
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,bf030cdbccfbaf7777b08565fc5c4590e4dfdf03,bf030cdbccfbaf7777b08565fc5c4590e4dfdf03,bf030cdbccfbaf7777b08565fc5c4590e4dfdf03_0,Interim_2014_Suncorp_Earnings_Presentation_and_Conference_Call_0,0,presentation,"Good morning everyone and welcome to Suncorp's result presentation for the 6 months to December 31, 2013.",,,,,,no_event,,,,KAR,no_event,,,,QJP,no_event,,,,YH6,sentence-level event detection,2021-06-10_10:53:19,,earnings call transcript,various,Interim_2014_Suncorp_Earnings_Presentation_and_Conference_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,bf030cdbccfbaf7777b08565fc5c4590e4dfdf03,bf030cdbccfbaf7777b08565fc5c4590e4dfdf03,bf030cdbccfbaf7777b08565fc5c4590e4dfdf03_1,Interim_2014_Suncorp_Earnings_Presentation_and_Conference_Call_1,1,presentation,We're pleased to be again presenting these results at Suncorp's Sydney offices.,,,,,,no_event,,,,KAR,no_event,,,,QJP,no_event,,,,YH6,sentence-level event detection,2021-06-10_10:53:19,,earnings call transcript,various,Interim_2014_Suncorp_Earnings_Presentation_and_Conference_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,bf030cdbccfbaf7777b08565fc5c4590e4dfdf03,bf030cdbccfbaf7777b08565fc5c4590e4dfdf03,bf030cdbccfbaf7777b08565fc5c4590e4dfdf03_2,Interim_2014_Suncorp_Earnings_Presentation_and_Conference_Call_2,2,presentation,(Conference Instructions).,,,,,,no_event,,,,KAR,no_event,,,,QJP,no_event,,,,YH6,sentence-level event detection,2021-06-10_10:53:19,,earnings call transcript,various,Interim_2014_Suncorp_Earnings_Presentation_and_Conference_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,bf030cdbccfbaf7777b08565fc5c4590e4dfdf03,bf030cdbccfbaf7777b08565fc5c4590e4dfdf03,bf030cdbccfbaf7777b08565fc5c4590e4dfdf03_3,Interim_2014_Suncorp_Earnings_Presentation_and_Conference_Call_3,3,presentation,"This morning you'll be hearing from our Chief Executive Officer Patrick Snowball who'll provide an overview of the half year results, then we'll have the recently appointed Chief Financial Officer Steve Johnston who'll be outlining some of the details in the business lines and discussing the group's capital position.",,,,,,no_event,,,,KAR,no_event,,,,QJP,no_event,,,,YH6,sentence-level event detection,2021-06-10_10:53:19,,earnings call transcript,various,Interim_2014_Suncorp_Earnings_Presentation_and_Conference_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,bf030cdbccfbaf7777b08565fc5c4590e4dfdf03,bf030cdbccfbaf7777b08565fc5c4590e4dfdf03,bf030cdbccfbaf7777b08565fc5c4590e4dfdf03_4,Interim_2014_Suncorp_Earnings_Presentation_and_Conference_Call_4,4,presentation,"Patrick will then be discussing the outlook and conclusion, he'll also be making some final wrap up comments before we head to Q&A just for those of you on the webcast that switch off during the Q&A session.",,,,,,no_event,,,,KAR,no_event,,,,QJP,no_event,,,,YH6,sentence-level event detection,2021-06-10_10:53:19,,earnings call transcript,various,Interim_2014_Suncorp_Earnings_Presentation_and_Conference_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,bf030cdbccfbaf7777b08565fc5c4590e4dfdf03,bf030cdbccfbaf7777b08565fc5c4590e4dfdf03,bf030cdbccfbaf7777b08565fc5c4590e4dfdf03_5,Interim_2014_Suncorp_Earnings_Presentation_and_Conference_Call_5,5,presentation,For those of you in the room we'll have plenty of time for Q&A and for those watching on the webcast there are teleconference details on the ASX.,,,,,,no_event,,,,KAR,no_event,,,,QJP,no_event,,,,YH6,sentence-level event detection,2021-06-10_10:53:19,,earnings call transcript,various,Interim_2014_Suncorp_Earnings_Presentation_and_Conference_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,bf030cdbccfbaf7777b08565fc5c4590e4dfdf03,bf030cdbccfbaf7777b08565fc5c4590e4dfdf03,bf030cdbccfbaf7777b08565fc5c4590e4dfdf03_6,Interim_2014_Suncorp_Earnings_Presentation_and_Conference_Call_6,6,presentation,We obviously have all of our business line CEO's on stage here to also assist with the Q&A process.,,,,,,no_event,,,,KAR,no_event,,,,QJP,no_event,,,,YH6,sentence-level event detection,2021-06-10_10:53:19,,earnings call transcript,various,Interim_2014_Suncorp_Earnings_Presentation_and_Conference_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,bf030cdbccfbaf7777b08565fc5c4590e4dfdf03,bf030cdbccfbaf7777b08565fc5c4590e4dfdf03,bf030cdbccfbaf7777b08565fc5c4590e4dfdf03_7,Interim_2014_Suncorp_Earnings_Presentation_and_Conference_Call_7,7,presentation,On that note I'll hand over to Patrick.,,,,,,no_event,,,,KAR,no_event,,,,QJP,no_event,,,,YH6,sentence-level event detection,2021-06-10_10:53:19,,earnings call transcript,various,Interim_2014_Suncorp_Earnings_Presentation_and_Conference_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,bf030cdbccfbaf7777b08565fc5c4590e4dfdf03,bf030cdbccfbaf7777b08565fc5c4590e4dfdf03,bf030cdbccfbaf7777b08565fc5c4590e4dfdf03_8,Interim_2014_Suncorp_Earnings_Presentation_and_Conference_Call_8,8,presentation,Mark thank you very much and good morning everybody here in Sydney and joining us on the webcam.,,,,,,no_event,,,,KAR,no_event,,,,QJP,no_event,,,,YH6,sentence-level event detection,2021-06-10_10:53:19,,earnings call transcript,various,Interim_2014_Suncorp_Earnings_Presentation_and_Conference_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,bf030cdbccfbaf7777b08565fc5c4590e4dfdf03,bf030cdbccfbaf7777b08565fc5c4590e4dfdf03,bf030cdbccfbaf7777b08565fc5c4590e4dfdf03_9,Interim_2014_Suncorp_Earnings_Presentation_and_Conference_Call_9,9,presentation,"Before I start the presentation there's a couple of notices, I'd like to give out.",,,,,,no_event,,,,KAR,no_event,,,,QJP,no_event,,,,YH6,sentence-level event detection,2021-06-10_10:53:19,,earnings call transcript,various,Interim_2014_Suncorp_Earnings_Presentation_and_Conference_Call
