batch_id,annotator_id,section,text_id,file_uuid,id,text,timestamp_vendor_delivery,document_uuid,sector,document_type,comments,text_uuid,batch_uuid,label,timestamp_delivered_to_vendor,completedDate,label2,label3,task,row_id,source_document_uri,status,Annotator_0_Id,Annotator_0_Category,Annotator_1_Id,Annotator_1_Category,Annotator_2_Id,Annotator_2_Category,Arbitrator_Id,Arbitrator_Category
c61f89fc819d52ad7d47da45724ab4aef3e2809a,,presentation,Half_Year_2017_DBS_Group_Holdings_Ltd_Media_Briefing_0,94ec8374ebaca90179ed5113db9ab5b17deb4eb1,0053c557-d2f0-4c83-8999-986db5885dc1,(technical difficulty),,94ec8374ebaca90179ed5113db9ab5b17deb4eb1,various,earnings call transcript,,94ec8374ebaca90179ed5113db9ab5b17deb4eb1_0,c61f89fc819d52ad7d47da45724ab4aef3e2809a,,2021-06-10_10:53:20,7/27/2021 6:27,,,sentence-level event detection,0,Half_Year_2017_DBS_Group_Holdings_Ltd_Media_Briefing,Complete,127,Entertainment|Cloths,128,Entertainment|Cloths,129,Entertainment|Cloths,130,Entertainment|Cloths
c61f89fc819d52ad7d47da45724ab4aef3e2809a,,presentation,Half_Year_2017_DBS_Group_Holdings_Ltd_Media_Briefing_1,94ec8374ebaca90179ed5113db9ab5b17deb4eb1,d4667cdb-d8f8-4f10-8460-e6a5c73941b6,This quarter and first half financial results briefing.,,94ec8374ebaca90179ed5113db9ab5b17deb4eb1,various,earnings call transcript,,94ec8374ebaca90179ed5113db9ab5b17deb4eb1_1,c61f89fc819d52ad7d47da45724ab4aef3e2809a,,2021-06-10_10:53:20,7/27/2021 6:27,,,sentence-level event detection,1,Half_Year_2017_DBS_Group_Holdings_Ltd_Media_Briefing,Complete,127,Entertainment|Cloths,128,Entertainment|Cloths,129,Entertainment|Cloths,130,Entertainment|Cloths
c61f89fc819d52ad7d47da45724ab4aef3e2809a,,presentation,Half_Year_2017_DBS_Group_Holdings_Ltd_Media_Briefing_2,94ec8374ebaca90179ed5113db9ab5b17deb4eb1,12f5f51a-528f-4dee-99a4-5ccbec631ea8,"This morning, we announced a record net profit of $2.35 billion for the first half, up 4% from the year ago and total income was also at a new high.",,94ec8374ebaca90179ed5113db9ab5b17deb4eb1,various,earnings call transcript,,94ec8374ebaca90179ed5113db9ab5b17deb4eb1_2,c61f89fc819d52ad7d47da45724ab4aef3e2809a,,2021-06-10_10:53:20,7/27/2021 6:27,,,sentence-level event detection,2,Half_Year_2017_DBS_Group_Holdings_Ltd_Media_Briefing,Complete,127,Entertainment|Cloths,128,Entertainment|Cloths,129,Entertainment|Cloths,130,Entertainment|Cloths
c61f89fc819d52ad7d47da45724ab4aef3e2809a,,presentation,Half_Year_2017_DBS_Group_Holdings_Ltd_Media_Briefing_3,94ec8374ebaca90179ed5113db9ab5b17deb4eb1,371ff88c-b826-4251-b00d-ff98182e525b,"For the second quarter, net profit rose 8%.",,94ec8374ebaca90179ed5113db9ab5b17deb4eb1,various,earnings call transcript,,94ec8374ebaca90179ed5113db9ab5b17deb4eb1_3,c61f89fc819d52ad7d47da45724ab4aef3e2809a,,2021-06-10_10:53:20,7/27/2021 6:27,,,sentence-level event detection,3,Half_Year_2017_DBS_Group_Holdings_Ltd_Media_Briefing,Complete,127,Entertainment|Cloths,128,Entertainment|Cloths,129,Entertainment|Cloths,130,Entertainment|Cloths
c61f89fc819d52ad7d47da45724ab4aef3e2809a,,presentation,Half_Year_2017_DBS_Group_Holdings_Ltd_Media_Briefing_4,94ec8374ebaca90179ed5113db9ab5b17deb4eb1,7e96d8dd-1d21-459b-8088-eebd5cddb7ad,The board also declared a higher dividend for the first half.,,94ec8374ebaca90179ed5113db9ab5b17deb4eb1,various,earnings call transcript,,94ec8374ebaca90179ed5113db9ab5b17deb4eb1_4,c61f89fc819d52ad7d47da45724ab4aef3e2809a,,2021-06-10_10:53:20,7/27/2021 6:27,,,sentence-level event detection,4,Half_Year_2017_DBS_Group_Holdings_Ltd_Media_Briefing,Complete,127,Entertainment|Cloths,128,Entertainment|Cloths,129,Entertainment|Cloths,130,Entertainment|Cloths
c61f89fc819d52ad7d47da45724ab4aef3e2809a,,presentation,Half_Year_2017_DBS_Group_Holdings_Ltd_Media_Briefing_5,94ec8374ebaca90179ed5113db9ab5b17deb4eb1,9ff22f59-84e5-4c3f-bb6e-00fbcdbbf2a3,"And to tell us more today, we have with us our CEO Piyush Gupta; and our CFO Sok Hui Lim.",,94ec8374ebaca90179ed5113db9ab5b17deb4eb1,various,earnings call transcript,,94ec8374ebaca90179ed5113db9ab5b17deb4eb1_5,c61f89fc819d52ad7d47da45724ab4aef3e2809a,,2021-06-10_10:53:20,7/27/2021 6:27,,,sentence-level event detection,5,Half_Year_2017_DBS_Group_Holdings_Ltd_Media_Briefing,Complete,127,Entertainment|Cloths,128,Entertainment|Cloths,129,Entertainment|Cloths,130,Entertainment|Cloths
c61f89fc819d52ad7d47da45724ab4aef3e2809a,,presentation,Half_Year_2017_DBS_Group_Holdings_Ltd_Media_Briefing_6,94ec8374ebaca90179ed5113db9ab5b17deb4eb1,5f89e617-4acd-4eee-b840-d9c28f0123f9,"So without further ado, Sok Hui Lim.",,94ec8374ebaca90179ed5113db9ab5b17deb4eb1,various,earnings call transcript,,94ec8374ebaca90179ed5113db9ab5b17deb4eb1_6,c61f89fc819d52ad7d47da45724ab4aef3e2809a,,2021-06-10_10:53:20,7/27/2021 6:27,,,sentence-level event detection,6,Half_Year_2017_DBS_Group_Holdings_Ltd_Media_Briefing,Complete,127,Entertainment|Cloths,128,Entertainment|Cloths,129,Entertainment|Cloths,130,Entertainment|Cloths
c61f89fc819d52ad7d47da45724ab4aef3e2809a,,presentation,Half_Year_2017_DBS_Group_Holdings_Ltd_Media_Briefing_7,94ec8374ebaca90179ed5113db9ab5b17deb4eb1,6b61db19-277f-4986-8978-4f9bee48ab92,"Good morning, everyone, and thank you for joining us for our second quarter results briefing.",,94ec8374ebaca90179ed5113db9ab5b17deb4eb1,various,earnings call transcript,,94ec8374ebaca90179ed5113db9ab5b17deb4eb1_7,c61f89fc819d52ad7d47da45724ab4aef3e2809a,,2021-06-10_10:53:20,7/27/2021 6:27,,,sentence-level event detection,7,Half_Year_2017_DBS_Group_Holdings_Ltd_Media_Briefing,Complete,127,Entertainment|Cloths,128,Entertainment|Cloths,129,Entertainment|Cloths,130,Entertainment|Cloths
c61f89fc819d52ad7d47da45724ab4aef3e2809a,,presentation,Half_Year_2017_DBS_Group_Holdings_Ltd_Media_Briefing_8,94ec8374ebaca90179ed5113db9ab5b17deb4eb1,cf32fa72-257f-4c5b-9bc8-e7c48c2131a0,"We achieved record earnings of $2.35 billion for the first half, up 4% from year ago.",,94ec8374ebaca90179ed5113db9ab5b17deb4eb1,various,earnings call transcript,,94ec8374ebaca90179ed5113db9ab5b17deb4eb1_8,c61f89fc819d52ad7d47da45724ab4aef3e2809a,,2021-06-10_10:53:20,7/27/2021 6:27,,,sentence-level event detection,8,Half_Year_2017_DBS_Group_Holdings_Ltd_Media_Briefing,Complete,127,Entertainment|Cloths,128,Entertainment|Cloths,129,Entertainment|Cloths,130,Entertainment|Cloths
c61f89fc819d52ad7d47da45724ab4aef3e2809a,,presentation,Half_Year_2017_DBS_Group_Holdings_Ltd_Media_Briefing_9,94ec8374ebaca90179ed5113db9ab5b17deb4eb1,7049e8f4-176d-4765-ab2a-aa4b821118ba,Total income reached a half year high of $5.81 billion as broad based loan growth and record fee income offset the impact of lower net interest margins and weaker trading performance.,,94ec8374ebaca90179ed5113db9ab5b17deb4eb1,various,earnings call transcript,,94ec8374ebaca90179ed5113db9ab5b17deb4eb1_9,c61f89fc819d52ad7d47da45724ab4aef3e2809a,,2021-06-10_10:53:20,7/27/2021 6:27,,,sentence-level event detection,9,Half_Year_2017_DBS_Group_Holdings_Ltd_Media_Briefing,Complete,127,Entertainment|Cloths,128,Entertainment|Cloths,129,Entertainment|Cloths,130,Entertainment|Cloths
