"batch_id","annotator_id","section","text_id","file_uuid","id","text","timestamp_vendor_delivery","document_uuid","sector","document_type","comments","text_uuid","batch_uuid","label","timestamp_delivered_to_vendor","completedDate","label2","label3","task","row_id","source_document_uri","status","Annotator_0_Id","Annotator_0_Category","Annotator_1_Id","Annotator_1_Category","Annotator_2_Id","Annotator_2_Category","Arbitrator_Id","Arbitrator_Category"
"c61f89fc819d52ad7d47da45724ab4aef3e2809a","","operator","Q1_2013_Huntington_Ingalls_Industries,_Inc._Earnings_Conference_Call_0","3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf","e897a93e-34dc-4996-a384-7dd05ab7cacd","Good day, ladies and gentlemen, and welcome to Q1 of 2013 Huntington Ingalls Industries earnings conference call.","","3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf","various","earnings call transcript","","3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf_0","c61f89fc819d52ad7d47da45724ab4aef3e2809a","","2021-06-10_10:53:19","8-19-2021 2:26:57","","","sentence-level event detection","0","Q1_2013_Huntington_Ingalls_Industries,_Inc._Earnings_Conference_Call","Complete","138","project_actual|project_actual_unchanged|project_actual_increase","139","project_actual|project_actual_unchanged","140","project_actual","142","project_actual_unchanged|project_actual|project_actual_increase"
"c61f89fc819d52ad7d47da45724ab4aef3e2809a","","operator","Q1_2013_Huntington_Ingalls_Industries,_Inc._Earnings_Conference_Call_1","3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf","81bf15a6-8a7f-4a2c-9616-1249f425c5e2","My name is Sandra, and I will be your operator today.","","3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf","various","earnings call transcript","","3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf_1","c61f89fc819d52ad7d47da45724ab4aef3e2809a","","2021-06-10_10:53:19","8-19-2021 2:26:57","","","sentence-level event detection","1","Q1_2013_Huntington_Ingalls_Industries,_Inc._Earnings_Conference_Call","Complete","138","project_actual_unchanged|project_actual_increase","139","project_actual|project_actual_unchanged","140","project_actual","142","project_actual_unchanged|project_actual|project_actual_increase"
"c61f89fc819d52ad7d47da45724ab4aef3e2809a","","operator","Q1_2013_Huntington_Ingalls_Industries,_Inc._Earnings_Conference_Call_2","3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf","f379168d-d3f4-4bef-a6b2-4096b8d01af0","At this time, all participants are in a listen-only line.","","3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf","various","earnings call transcript","","3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf_2","c61f89fc819d52ad7d47da45724ab4aef3e2809a","","2021-06-10_10:53:19","8-19-2021 2:26:57","","","sentence-level event detection","2","Q1_2013_Huntington_Ingalls_Industries,_Inc._Earnings_Conference_Call","Complete","138","project_actual_unchanged|project_actual_increase","139","project_actual|project_actual_unchanged","140","project_actual","142","project_actual_unchanged|project_actual|project_actual_increase"
"c61f89fc819d52ad7d47da45724ab4aef3e2809a","","operator","Q1_2013_Huntington_Ingalls_Industries,_Inc._Earnings_Conference_Call_3","3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf","6ec4aae2-589c-4fa4-aabf-87fcf7af6679","We will conduct a Q&A session towards the end of the conference.","","3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf","various","earnings call transcript","","3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf_3","c61f89fc819d52ad7d47da45724ab4aef3e2809a","","2021-06-10_10:53:19","8-19-2021 2:26:57","","","sentence-level event detection","3","Q1_2013_Huntington_Ingalls_Industries,_Inc._Earnings_Conference_Call","Complete","138","project_actual_unchanged|project_actual_increase","139","project_actual_unchanged|project_actual_decrease|project_expect|project_expect_unchanged|project_actual","140","project_actual","142","project_actual_unchanged|project_actual|project_actual_increase"
"c61f89fc819d52ad7d47da45724ab4aef3e2809a","","operator","Q1_2013_Huntington_Ingalls_Industries,_Inc._Earnings_Conference_Call_4","3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf","68962fc9-7fa5-4b8d-8293-74f0c8220730","(Operator Instructions)","","3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf","various","earnings call transcript","","3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf_4","c61f89fc819d52ad7d47da45724ab4aef3e2809a","","2021-06-10_10:53:19","8-19-2021 2:26:57","","","sentence-level event detection","4","Q1_2013_Huntington_Ingalls_Industries,_Inc._Earnings_Conference_Call","Complete","138","project_actual_unchanged|project_actual_increase","139","project_actual_unchanged|project_actual_decrease|project_expect|project_expect_unchanged|project_actual","140","project_expect|project_expect_increase|project_expect_unchanged|project_actual","142","project_actual_unchanged|project_actual|project_actual_increase"
"c61f89fc819d52ad7d47da45724ab4aef3e2809a","","operator","Q1_2013_Huntington_Ingalls_Industries,_Inc._Earnings_Conference_Call_6","3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf","9337d00a-1f6c-477e-a35b-d323e271ce91","I would now like to hand the call over to Dwayne Blake, VP of Investor Relations.","","3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf","various","earnings call transcript","","3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf_6","c61f89fc819d52ad7d47da45724ab4aef3e2809a","","2021-06-10_10:53:19","8-19-2021 2:26:57","","","sentence-level event detection","6","Q1_2013_Huntington_Ingalls_Industries,_Inc._Earnings_Conference_Call","Complete","138","project_other|capacity_actual|project_actual_unchanged|project_actual_increase","139","project_actual_unchanged|project_actual_decrease|project_expect|project_expect_unchanged|project_actual","140","project_expect|project_expect_increase|project_expect_unchanged|project_actual","142","project_actual_unchanged|project_actual|project_actual_increase"
"c61f89fc819d52ad7d47da45724ab4aef3e2809a","","operator","Q1_2013_Huntington_Ingalls_Industries,_Inc._Earnings_Conference_Call_7","3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf","0356fb00-7532-47ad-bbfe-b0ef72d59d50","Please go ahead.","","3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf","various","earnings call transcript","","3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf_7","c61f89fc819d52ad7d47da45724ab4aef3e2809a","","2021-06-10_10:53:19","8-19-2021 2:26:57","","","sentence-level event detection","7","Q1_2013_Huntington_Ingalls_Industries,_Inc._Earnings_Conference_Call","Complete","138","project_other|capacity_actual|project_actual_unchanged|project_actual_increase","139","project_actual|project_actual_unchanged","140","project_actual","142","project_actual_unchanged|project_actual|project_actual_increase"
"c61f89fc819d52ad7d47da45724ab4aef3e2809a","","presentation","Q1_2013_Huntington_Ingalls_Industries,_Inc._Earnings_Conference_Call_9","3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf","16e277cf-d9cd-42b9-84bb-9fea8ca24fbd","Good morning, and welcome to the Huntington Ingalls Industries first-quarter 2013 earnings conference call.","","3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf","various","earnings call transcript","","3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf_9","c61f89fc819d52ad7d47da45724ab4aef3e2809a","","2021-06-10_10:53:19","8-19-2021 2:26:57","","","sentence-level event detection","9","Q1_2013_Huntington_Ingalls_Industries,_Inc._Earnings_Conference_Call","Complete","138","project_actual_unchanged|project_actual_increase","139","project_actual|project_actual_unchanged","140","project_actual","142","project_actual_unchanged|project_actual|project_actual_increase"
"c61f89fc819d52ad7d47da45724ab4aef3e2809a","","presentation","Q1_2013_Huntington_Ingalls_Industries,_Inc._Earnings_Conference_Call_10","3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf","05f4befe-b862-4d52-9a97-eb76d4a030fb","With us today are Mike Petters, President and Chief Executive Officer; and Barb Niland, Corporate Vice President, Business Management and Chief Financial Officer.","","3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf","various","earnings call transcript","","3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf_10","c61f89fc819d52ad7d47da45724ab4aef3e2809a","","2021-06-10_10:53:19","8-19-2021 2:26:57","","","sentence-level event detection","10","Q1_2013_Huntington_Ingalls_Industries,_Inc._Earnings_Conference_Call","Complete","138","project_actual_unchanged|project_actual_increase","139","project_actual|project_actual_unchanged","140","project_actual","142","project_actual_unchanged|project_actual|project_actual_increase"
"c61f89fc819d52ad7d47da45724ab4aef3e2809a","","presentation","Q1_2013_Huntington_Ingalls_Industries,_Inc._Earnings_Conference_Call_12","3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf","efa303d2-18a0-4116-9271-84346b848c32","Actual results may differ.","","3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf","various","earnings call transcript","","3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf_12","c61f89fc819d52ad7d47da45724ab4aef3e2809a","","2021-06-10_10:53:19","8-19-2021 2:26:57","","","sentence-level event detection","12","Q1_2013_Huntington_Ingalls_Industries,_Inc._Earnings_Conference_Call","Complete","138","project_actual_unchanged|project_actual_increase","139","project_actual|project_actual_unchanged","140","project_actual","142","project_actual_unchanged|project_actual|project_actual_increase"
