BATCH_ID,SECTION,TEXT_ID,FILE_UUID,ID,TEXT,TIMESTAMP_VENDOR_DELIVERY,DOCUMENT_UUID,SECTOR,DOCUMENT_TYPE,TEXT_UUID,BATCH_UUID,TIMESTAMP_DELIVERED_TO_VENDOR,TASK,ROW_ID,SOURCE_DOCUMENT_URI,LABEL,LABEL2,LABEL3,COMMENTS,ANNOTATOR_ID,LABEL,LABEL2,LABEL3,COMMENTS,ANNOTATOR_ID,LABEL,LABEL2,LABEL3,COMMENTS,ANNOTATOR_ID,ADJ_LABEL,ADJ_LABEL2,ADJ_LABEL3,ADJ_COMMENTS,ADJ_ANNOTATOR_ID
eb06640f608eb9bf90843728e9ee293c67bdaa68,operator,Interim_2013_SUN_HUNG_KAI_PPTYS_LTD_Earnings_Presentation_0,69448346d037a0d19af859ff706ee667c7ced545,9fed1973-4452-456b-a88d-fb4b811dc135,"Ladies and gentlemen, good afternoon.",,69448346d037a0d19af859ff706ee667c7ced545,various,earnings call transcript,69448346d037a0d19af859ff706ee667c7ced545_0,eb06640f608eb9bf90843728e9ee293c67bdaa68,2021-05-26_10:11:20,sentence-level event detection,0,Interim_2013_SUN_HUNG_KAI_PPTYS_LTD_Earnings_Presentation,Entertainment,Cloths,,,Anno1,Entertainment,Cloths,,,Anno2,Entertainment,Cloths,,,Anno3,Entertainment,Cloths,,,Arbi
eb06640f608eb9bf90843728e9ee293c67bdaa68,operator,Interim_2013_SUN_HUNG_KAI_PPTYS_LTD_Earnings_Presentation_1,69448346d037a0d19af859ff706ee667c7ced545,fcead107-8d22-4f6c-8cc0-9704ff7d0664,Welcome to analysts' briefing of Sun Hung Kai Properties interim results 2012/2013.,,69448346d037a0d19af859ff706ee667c7ced545,various,earnings call transcript,69448346d037a0d19af859ff706ee667c7ced545_1,eb06640f608eb9bf90843728e9ee293c67bdaa68,2021-05-26_10:11:20,sentence-level event detection,1,Interim_2013_SUN_HUNG_KAI_PPTYS_LTD_Earnings_Presentation,Entertainment,Cloths,,,Anno1,Entertainment,Cloths,,,Anno2,Entertainment,Cloths,,,Anno3,Entertainment,Cloths,,,Arbi
eb06640f608eb9bf90843728e9ee293c67bdaa68,operator,Interim_2013_SUN_HUNG_KAI_PPTYS_LTD_Earnings_Presentation_2,69448346d037a0d19af859ff706ee667c7ced545,29feb1b8-0957-49ef-8a94-1cdf9e232c3e,The briefing will start with a summary on the interim results and the business review.,,69448346d037a0d19af859ff706ee667c7ced545,various,earnings call transcript,69448346d037a0d19af859ff706ee667c7ced545_2,eb06640f608eb9bf90843728e9ee293c67bdaa68,2021-05-26_10:11:20,sentence-level event detection,2,Interim_2013_SUN_HUNG_KAI_PPTYS_LTD_Earnings_Presentation,Entertainment,Cloths,,,Anno1,Entertainment,Cloths,,,Anno2,Entertainment,Cloths,,,Anno3,Entertainment,Cloths,,,Arbi
eb06640f608eb9bf90843728e9ee293c67bdaa68,operator,Interim_2013_SUN_HUNG_KAI_PPTYS_LTD_Earnings_Presentation_3,69448346d037a0d19af859ff706ee667c7ced545,ba0d6be9-3a8f-49cf-864b-1ca344ab13f0,We will then open the floor for question and answer session.,,69448346d037a0d19af859ff706ee667c7ced545,various,earnings call transcript,69448346d037a0d19af859ff706ee667c7ced545_3,eb06640f608eb9bf90843728e9ee293c67bdaa68,2021-05-26_10:11:20,sentence-level event detection,3,Interim_2013_SUN_HUNG_KAI_PPTYS_LTD_Earnings_Presentation,Entertainment,Cloths,,,Anno1,Entertainment,Cloths,,,Anno2,Entertainment,Cloths,,,Anno3,Entertainment,Cloths,,,Arbi
eb06640f608eb9bf90843728e9ee293c67bdaa68,operator,Interim_2013_SUN_HUNG_KAI_PPTYS_LTD_Earnings_Presentation_4,69448346d037a0d19af859ff706ee667c7ced545,1c863dbb-4d7d-4d24-ac4e-5cfe5ad7aed7,"The presenters today are Mr. Patrick Chan, Exec Director and Chief Financial Officer of Sun Hung Kai Properties, and Mr. Brian Sum, Senior Manager, Corporate Planning.",,69448346d037a0d19af859ff706ee667c7ced545,various,earnings call transcript,69448346d037a0d19af859ff706ee667c7ced545_4,eb06640f608eb9bf90843728e9ee293c67bdaa68,2021-05-26_10:11:20,sentence-level event detection,4,Interim_2013_SUN_HUNG_KAI_PPTYS_LTD_Earnings_Presentation,Entertainment,Cloths,,,Anno1,Entertainment,Cloths,,,Anno2,Entertainment,Cloths,,,Anno3,Entertainment,Cloths,,,Arbi
eb06640f608eb9bf90843728e9ee293c67bdaa68,operator,Interim_2013_SUN_HUNG_KAI_PPTYS_LTD_Earnings_Presentation_5,69448346d037a0d19af859ff706ee667c7ced545,3f6ccd0d-4ed1-4042-93bf-186dcc840688,May I now invite Mr. Patrick Chan to get start?,,69448346d037a0d19af859ff706ee667c7ced545,various,earnings call transcript,69448346d037a0d19af859ff706ee667c7ced545_5,eb06640f608eb9bf90843728e9ee293c67bdaa68,2021-05-26_10:11:20,sentence-level event detection,5,Interim_2013_SUN_HUNG_KAI_PPTYS_LTD_Earnings_Presentation,Entertainment,Cloths,,,Anno1,Entertainment,Cloths,,,Anno2,Entertainment,Cloths,,,Anno3,Entertainment,Cloths,,,Arbi
eb06640f608eb9bf90843728e9ee293c67bdaa68,operator,Interim_2013_SUN_HUNG_KAI_PPTYS_LTD_Earnings_Presentation_6,69448346d037a0d19af859ff706ee667c7ced545,52075438-ea2a-450c-a4e7-8082c4487a52,"Mr. Chan, please.",,69448346d037a0d19af859ff706ee667c7ced545,various,earnings call transcript,69448346d037a0d19af859ff706ee667c7ced545_6,eb06640f608eb9bf90843728e9ee293c67bdaa68,2021-05-26_10:11:20,sentence-level event detection,6,Interim_2013_SUN_HUNG_KAI_PPTYS_LTD_Earnings_Presentation,Entertainment,Cloths,,,Anno1,Entertainment,Cloths,,,Anno2,Entertainment,Cloths,,,Anno3,Entertainment,Cloths,,,Arbi
eb06640f608eb9bf90843728e9ee293c67bdaa68,presentation,Interim_2013_SUN_HUNG_KAI_PPTYS_LTD_Earnings_Presentation_8,69448346d037a0d19af859ff706ee667c7ced545,ddd52a99-caaa-4e9b-a0f0-1221eaa45a22,Good afternoon ladies and gentlemen.,,69448346d037a0d19af859ff706ee667c7ced545,various,earnings call transcript,69448346d037a0d19af859ff706ee667c7ced545_8,eb06640f608eb9bf90843728e9ee293c67bdaa68,2021-05-26_10:11:20,sentence-level event detection,8,Interim_2013_SUN_HUNG_KAI_PPTYS_LTD_Earnings_Presentation,Entertainment,Cloths,,,Anno1,Entertainment,Cloths,,,Anno2,Entertainment,Cloths,,,Anno3,Entertainment,Cloths,,,Arbi
eb06640f608eb9bf90843728e9ee293c67bdaa68,presentation,Interim_2013_SUN_HUNG_KAI_PPTYS_LTD_Earnings_Presentation_9,69448346d037a0d19af859ff706ee667c7ced545,ba7b1ef9-3c80-4f43-b123-fdffb832f131,Thank you for taking time out of your busy schedule to attend SHKP's FY 2013 interim results announcement today.,,69448346d037a0d19af859ff706ee667c7ced545,various,earnings call transcript,69448346d037a0d19af859ff706ee667c7ced545_9,eb06640f608eb9bf90843728e9ee293c67bdaa68,2021-05-26_10:11:20,sentence-level event detection,9,Interim_2013_SUN_HUNG_KAI_PPTYS_LTD_Earnings_Presentation,Entertainment,Cloths,,,Anno1,Entertainment,Cloths,,,Anno2,Entertainment,Cloths,,,Anno3,Entertainment,Cloths,,,Arbi
eb06640f608eb9bf90843728e9ee293c67bdaa68,presentation,Interim_2013_SUN_HUNG_KAI_PPTYS_LTD_Earnings_Presentation_10,69448346d037a0d19af859ff706ee667c7ced545,f9a2ac0a-b9c2-4f9a-984e-b949684cb555,"Before I start I actually would like to wish you all an invigorating forward momentum in the year of snake, as busy as possible.",,69448346d037a0d19af859ff706ee667c7ced545,various,earnings call transcript,69448346d037a0d19af859ff706ee667c7ced545_10,eb06640f608eb9bf90843728e9ee293c67bdaa68,2021-05-26_10:11:20,sentence-level event detection,10,Interim_2013_SUN_HUNG_KAI_PPTYS_LTD_Earnings_Presentation,Entertainment,Cloths,,,Anno1,Entertainment,Cloths,,,Anno2,Entertainment,Cloths,,,Anno3,Entertainment,Cloths,,,Arbi
